rn,Date,name,category,hazards,tier,band
24-726,2023-12-05,Foiresoft Zebra Roller Blinds,Window coverings & cords,strangulation,1,ACT NOW
24-719,2023-11-30,YPSI and Z4 Inclined Sleeper Bassinets,"Sleep — cribs, bassinets, loungers",,4,ACT SOON
24-725,2023-11-30,Klickpick Home Children's Cup Sets,Feeding & high chairs,chemical|choking|laceration|lead,3,ACT NOW
24-724,2023-11-30,Tiblue 8 oz and 12 oz children's cups,Feeding & high chairs,chemical|choking|laceration|lead,3,ACT NOW
24-723,2023-11-30,DODO Baby House Pack and Play Mattresses,"Sleep — cribs, bassinets, loungers",labeling|suffocation,1,ACT NOW
24-721,2023-11-30,Vibe Bear Playyard Mattresses,"Sleep — cribs, bassinets, loungers",labeling|suffocation,1,ACT NOW
24-716,2023-11-22,"PandaEar Stainless Steel Toddler Cups, 8 oz.",Feeding & high chairs,chemical|choking|laceration|lead,3,ACT NOW
24-715,2023-11-16,13-Piece Toy Mushroom Peg Sorters,Toys,choking,3,ACT NOW
24-714,2023-11-16,LAOION Children's Cups,Feeding & high chairs,chemical|choking|laceration|lead,3,ACT NOW
24-712,2023-11-09,Children's Nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
24-019,2023-11-02,Creativity Street Assorted Craft Buttons,Outdoor & play equipment,chemical|lead,4,ACT SOON
24-707,2023-11-02,Infant Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
24-017,2023-11-02,Yoocaa baby loungers,"Sleep — cribs, bassinets, loungers",entrapment|fall|suffocation,1,ACT NOW
24-014,2023-10-26,"Cosco Jump, Spin & Play Activity Centers","Walkers, swings & bouncers",fall,3,ACT NOW
24-010,2023-10-19,Thomas & Friends Wooden Railway Troublesome Truck & Crates and Thomas & Friends Wooden Railway Troublesome Truck & Paint,Toys,choking|magnet,2,ACT NOW
24-703,2023-10-12,"Crystal Clear Sodium Hydroxide, 2 lb. bags",Household chemicals,burn|chemical,3,ACT NOW
24-702,2023-10-12,YourHealthToolkit 5-pound children's weighted blankets,Sleep — mattresses & bedding,entrapment|suffocation,1,ACT NOW
24-007,2023-10-12,Sleepyhead Loveys and Bandana Bibs,Feeding & high chairs,choking,3,ACT NOW
24-006,2023-10-12,The FORT Children's Play Tents,Outdoor & play equipment,choking|laceration|magnet,2,ACT NOW
24-004,2023-10-05,Rene Rofe Girl Children's Blanket Sleepers and Hooded Robes,"Sleep — cribs, bassinets, loungers",burn|flammable,3,ACT NOW
24-002,2023-10-05,Cocco Candy Rolling Candy,Feeding & high chairs,choking,3,ACT NOW
23-298,2023-09-28,Rust-Oleum Professional Fluorescent Pink Inverted Marking Spray Paint cans,Feeding & high chairs,,4,ACT SOON
23-297,2023-09-28,Solaray Liposomal Multivitamins,Personal care & medicine,chemical,4,ACT SOON
23-293,2023-09-21,Men's clasp beaded bracelets,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-292,2023-09-21,Rainbow Road Series Board Books,Toys,choking,3,ACT NOW
23-290,2023-09-21,HONEY JOY Infant Swings,"Walkers, swings & bouncers",,4,ACT SOON
23-286,2023-09-14,Chuckle & Roar Ultimate Water Beads Activity Kits,Toys,choking,3,ACT NOW
23-787,2023-08-31,DIYChemicals: Potassium Hydroxide/KOH Flakes and Sodium Hydroxide,Household chemicals,burn|chemical,3,ACT NOW
23-272,2023-08-31,Boon Flair & Flair Elite highchairs,Feeding & high chairs,fall,3,ACT NOW
23-785,2023-08-24,Kids bike helmets,Helmets & wheeled toys,crash|labeling,3,ACT NOW
23-782,2023-08-17,Midwest Lubricants Sodium Hydroxide,Household chemicals,burn|chemical,3,ACT NOW
23-265,2023-08-17,Simplay3 Toddler Towers,Nursery furniture & tip-over,fall|tipover,2,ACT NOW
23-263,2023-08-17,Zipadee Kids Convertible House Bed Frames and Montessori Floor Beds,Sleepwear & apparel,entrapment|strangulation,1,ACT NOW
23-781,2023-08-10,Room & Board Natural Organic Latex and Latex and Spring Crib Mattresses,"Sleep — cribs, bassinets, loungers",labeling|suffocation,1,ACT NOW
23-257,2023-08-10,Baby and Toddler Boy Basic Stretch Straight Leg Jeans,Sleepwear & apparel,choking,3,ACT NOW
23-250,2023-08-03,Philips Avent Digital Video Baby Monitors,Nursery electricals & monitors,burn|overheat,3,ACT NOW
23-777,2023-07-27,Timberline Solar Energy Shingles,"Walkers, swings & bouncers",fire,3,ACT NOW
23-776,2023-07-27,Sky Wheels,Outdoor & play equipment,fall,3,ACT NOW
23-775,2023-07-20,Pottery Barn Kids Penny Convertible Cribs,"Sleep — cribs, bassinets, loungers",laceration,3,ACT NOW
23-774,2023-07-20,CUPKIN Double-Walled Stainless Steel Children's Cups,Feeding & high chairs,chemical|lead,3,ACT NOW
23-239,2023-07-06,woom ORIGINAL Bicycles,Helmets & wheeled toys,fall,3,ACT NOW
23-237,2023-06-29,Canvas Baby Hammock Swings,"Sleep — cribs, bassinets, loungers",,4,ACT SOON
23-770,2023-06-22,Zooby video baby monitors for cars,Nursery electricals & monitors,fire|overheat,3,ACT NOW
23-230,2023-06-22,Hurtle Multi-Purpose Helmet,Helmets & wheeled toys,crash,3,ACT NOW
23-229,2023-06-22,Robo Alive Junior Baby Shark Sing & Swim Bath Toys (full-size) and Robo Alive Junior Mini Baby Shark Swimming Bath Toys (mini-size),Bath & water safety,fall|laceration,3,ACT NOW
23-227,2023-06-22,"Ferrous Sulfate (Iron) Enteric-Coated Tablets, 324 mg - 100 Tablet Bottles",Feeding & high chairs,chemical,4,ACT SOON
23-767,2023-06-08,Little Cotton Clothes Pajamas and Nightdresses,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-766,2023-06-08,Deux Par Deux Children's One-Piece and Two-Piece Pajama Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-763,2023-06-08,Narskido Infant Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
23-211,2023-06-01,Jetson Nova and Star 3-Wheel Kick Scooters,Helmets & wheeled toys,fall,3,ACT NOW
23-761,2023-05-25,The Preschool Electric Bicycles,Helmets & wheeled toys,chemical|lead,4,ACT SOON
23-210,2023-05-25,Janod Sweet Cocoon Activity Tables,Toys,choking,3,ACT NOW
23-203,2023-05-18,"PhysiciansCare Allergy, Allergy Plus and Cold and Cough",Personal care & medicine,chemical,4,ACT SOON
23-754,2023-05-04,Children's white robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-752,2023-05-04,L.O.L. Surprise! Trick or Treat subscription boxes sold with Metal Doll Pins,Toys,chemical|lead,3,ACT NOW
23-193,2023-05-04,Twin Over Twin Bunk Beds,"Walkers, swings & bouncers",fall,3,ACT NOW
23-192,2023-04-27,Easter Bunny and Boutique Butterfly Jewel Necklaces,Jewelry & accessories,chemical,4,ACT SOON
23-750,2023-04-27,Pool drain covers,Bath & water safety,entrapment,1,ACT NOW
23-749,2023-04-27,Ejoyous pool drain covers,Bath & water safety,entrapment,1,ACT NOW
23-748,2023-04-27,Pool and spa drain covers,Bath & water safety,entrapment,1,ACT NOW
23-194,2023-04-27,Screaming Plush Monkey Toys,Toys,choking,3,ACT NOW
23-185,2023-04-20,Rollerblade® Fury Inline Skates and Rollerblade® Fury brake supports,Helmets & wheeled toys,fall,3,ACT NOW
23-747,2023-04-20,Lelinta Multi-Purpose Kids Helmets,Helmets & wheeled toys,crash,3,ACT NOW
23-184,2023-04-20,Children's Fishing Rods sold with Kid Casters No Tangle Combos,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-746,2023-04-20,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-188,2023-04-20,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-187,2023-04-20,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-744,2023-04-13,FunnyPaja Children's Bathrobes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-743,2023-04-13,Arshiner Children's Nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-745,2023-04-13,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-177,2023-04-13,Luxor A/V carts,Nursery furniture & tip-over,tipover,2,ACT NOW
23-175,2023-04-06,BLAVINGAD fishing games,Toys,choking,3,ACT NOW
23-742,2023-04-06,"Basket with Balls toys sold with Monti Kids Tummy-Time, 4-6M Play and Early Gross Motor subscription boxes",Toys,choking,3,ACT NOW
23-170,2023-03-30,2-in-1 Outdoor Kids Swings,"Walkers, swings & bouncers",fall,3,ACT NOW
23-161,2023-03-17,Mockingbird Single Strollers,Strollers & carriers,fall,3,ACT NOW
23-155,2023-03-16,Ecoxall Sodium and Potassium Hydroxide,Household chemicals,burn|chemical,3,ACT NOW
23-154,2023-03-16,"Nurtec® ODT (rimegepant) orally disintegrating tablets, 75mg 8-Unit Dose blister pack",Personal care & medicine,chemical,4,ACT SOON
23-151,2023-03-09,Vaunn Medical Bed Assist Rail adult bed rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
23-737,2023-03-09,Baby Crib Bumpers,"Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
23-150,2023-03-09,Calico Critters® Animal Figures and Sets sold with Bottle and Pacifier Accessories,Feeding & high chairs,choking,3,ACT NOW
23-146,2023-03-09,Aprepitant capsules and Lidocaine and Prilocaine cream,Personal care & medicine,chemical,4,ACT SOON
23-145,2023-03-09,YETI soft coolers and gear cases,Toys,chemical|magnet,2,ACT NOW
23-730,2023-03-02,Multi-Purpose Kids Bike Helmets,Helmets & wheeled toys,crash,3,ACT NOW
23-731,2023-03-02,Classic Whimsy children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-139,2023-03-02,Children's Bamboo Plates,Feeding & high chairs,chemical|lead,3,ACT NOW
23-138,2023-03-02,Infant Capilene Midweight Base Layer Sets,Sleepwear & apparel,choking,3,ACT NOW
23-136,2023-02-23,LumaRail Bed Assist Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
23-134,2023-02-23,Lancaster Table & Seating brand High Chairs,Feeding & high chairs,fall,3,ACT NOW
23-135,2023-02-23,Aderes bookcases,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
23-127,2023-02-16,"""My First"" Mickey Mouse, Minnie Mouse, Buzz Lightyear, and Stitch Figurines",Toys,choking,3,ACT NOW
23-123,2023-02-16,Children's nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-122,2023-02-16,Children's pajamas and headbands,Outdoor & play equipment,burn|chemical|flammable|lead,3,ACT NOW
23-121,2023-02-16,Children's nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-724,2023-02-09,Baby Sleep Sacks,Sleep — mattresses & bedding,choking,3,ACT NOW
23-117,2023-02-09,Silver Lining Cloud Activity Gyms,Toys,choking,3,ACT NOW
23-115,2023-02-08,Fabuloso Multi-Purpose Cleaners,Household chemicals,,4,ACT SOON
23-113,2023-02-02,Children's Robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-112,2023-02-02,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-111,2023-02-02,Children's Robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-110,2023-02-02,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-109,2023-02-02,Children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-106,2023-01-26,Children's Lounge Pants,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-104,2023-01-19,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-097,2023-01-19,Children's Pajama Sets,Toys,burn|flammable,3,ACT NOW
23-103,2023-01-19,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-102,2023-01-19,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-101,2023-01-19,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-100,2023-01-19,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-099,2023-01-19,Children's sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-095,2023-01-19,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-105,2023-01-19,Heavy Duty Headlight Sealant,Feeding & high chairs,chemical,4,ACT SOON
23-721,2023-01-12,LG 86-inch smart televisions and stands,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
23-088,2023-01-09,All models of Rock 'n Play Sleepers,"Sleep — cribs, bassinets, loungers",,4,ACT SOON
23-089,2023-01-09,All models of Kids2 Rocking Sleepers,"Sleep — cribs, bassinets, loungers",,4,ACT SOON
23-085,2023-01-05,Children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-081,2022-12-22,Home Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
23-078,2022-12-22,PillowfortTM Weighted Blankets,Sleep — mattresses & bedding,entrapment|suffocation,1,ACT NOW
23-077,2022-12-22,"Pacific Igniter and Pacific Bubble Pop 20"" kids' bicycles",Helmets & wheeled toys,fall|fire,3,ACT NOW
23-070,2022-12-15,Samnyte Tattoo Numbing Creams,Personal care & medicine,chemical,4,ACT SOON
23-717,2022-12-15,Thornhill Dark Brown and Natural Baby Cribs,"Sleep — cribs, bassinets, loungers",fall,3,ACT NOW
23-714,2022-12-01,Discovery Cubes Animal Hide and Seek Activity Toy,Toys,choking,3,ACT NOW
23-060,2022-12-01,Cloud Island 4-Piece Plush Toy Sets,Toys,choking,3,ACT NOW
23-711,2022-11-23,"Green Sprouts Stainless Steel Straw Bottles, Sippy Cups and Sip & Straw Cups",Feeding & high chairs,chemical|lead,3,ACT NOW
23-052,2022-11-23,Children's clothing sets,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-049,2022-11-17,Rainbow Stacking Toys,Toys,choking,3,ACT NOW
23-048,2022-11-17,Infant's Yellow Footed Fleece Pajamas with Animal Graphic,Sleepwear & apparel,laceration,3,ACT NOW
23-042,2022-11-10,Mockingbird Single-to-Double Strollers,Strollers & carriers,fall,3,ACT NOW
23-032,2022-11-03,FUUL 1.9L Pure Liquid Paraffin Lamp Oil,Lighters & fire hazards,chemical,4,ACT SOON
23-707,2022-11-03,Stashables Finger Skateboard Ramp Sets,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-033,2022-11-03,Tangame Busy Houses,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-031,2022-11-03,Bolt Foldable Children's Scooters,Helmets & wheeled toys,chemical|lead,4,ACT SOON
23-027,2022-10-27,Goalsetter wall-mounted basketball goals,Sleepwear & apparel,fall,3,ACT NOW
23-703,2022-10-20,Butterfly Net Sets and Army Action Figure Playsets,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-019,2022-10-20,Gel Blaster SURGE 1.0 toy guns,Toys,fire|overheat,3,ACT NOW
23-018,2022-10-20,Mittal International Baby Blankets,Sleep — mattresses & bedding,choking|entrapment|strangulation,1,ACT NOW
23-010,2022-10-13,Children's Nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-008,2022-10-13,Children's Rings,Outdoor & play equipment,chemical|lead,4,ACT SOON
23-009,2022-10-13,Early Learning Centre Little Senses Lights & Sounds Shape Sorter Toys,Toys,choking,3,ACT NOW
23-011,2022-10-13,Children's Bathrobes,Sleepwear & apparel,burn|flammable,3,ACT NOW
23-701,2022-10-06,Eames Desk Units and Eames Storage Units,Sleepwear & apparel,chemical|lead,4,ACT SOON
22-778,2022-09-29,Flynn Twin Full Bunk Beds With Ladders,Nursery furniture & tip-over,entrapment,1,ACT NOW
22-232,2022-09-29,Toddleroo Rotating Cabinet Latches,Nursery furniture & tip-over,choking,3,ACT NOW
22-233,2022-09-29,Children's Bowtie Hairclips,Outdoor & play equipment,chemical|lead,4,ACT SOON
22-776,2022-09-22,Pool and spa drain covers,Outdoor & play equipment,entrapment,1,ACT NOW
22-775,2022-09-22,Pool and spa drain covers,Outdoor & play equipment,entrapment,1,ACT NOW
22-774,2022-09-22,Pool and spa drain covers,Outdoor & play equipment,entrapment,1,ACT NOW
22-773,2022-09-22,Pool and spa drain covers,Outdoor & play equipment,entrapment,1,ACT NOW
22-772,2022-09-15,"Cityscape Travel Jogger Strollers, Model TJ75B12A",Strollers & carriers,fall,3,ACT NOW
22-217,2022-09-08,Children's HearMuffs sound compression ear muffs,Button cells & batteries,burn,3,ACT NOW
22-769,2022-09-01,Otter MOMO Children's Sandals,Outdoor & play equipment,chemical|lead,4,ACT SOON
22-768,2022-09-01,Infant Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
22-215,2022-09-01,UPPAbaby All-Terrain RIDGE Jogging Strollers,Strollers & carriers,laceration,3,ACT NOW
22-211,2022-08-25,Blue's Clues Foot to Floor Ride-on Toys,Toys,fall|tipover,2,ACT NOW
22-207,2022-08-25,Big Game Hunters Mud Kitchens,Outdoor & play equipment,chemical|lead,4,ACT SOON
22-205,2022-08-25,Kidoozie My First Activity Desk Toys,Toys,entanglement|entrapment,1,ACT NOW
22-202,2022-08-18,Hard Rock Cafe Children's Hooded Sweatshirts,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
22-200,2022-08-15,"4moms MamaRoo Baby Swing, versions 1.0 through 4.0 and RockaRoo Baby Rockers","Walkers, swings & bouncers",entanglement|strangulation,1,ACT NOW
22-765,2022-07-28,NUK First Choice 240 mL Glass Baby Bottles,Feeding & high chairs,chemical|lead,3,ACT NOW
22-192,2022-07-28,KidoozieTM Play Tents and Playhouses,Outdoor & play equipment,burn|flammable,3,ACT NOW
22-190,2022-07-28,Aesop Post-Poo Drops and Aesop Oil Burner Blends,Personal care & medicine,chemical,4,ACT SOON
22-759,2022-07-21,Monti Kids Toy Box with Bins,Toys,choking,3,ACT NOW
22-188,2022-07-21,Baby Mirror Activity Toys,Toys,laceration,3,ACT NOW
22-181,2022-07-07,Shake Look Touch books,Toys,choking,3,ACT NOW
22-177,2022-06-30,Children's Pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-178,2022-06-30,Children's Nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-754,2022-06-30,Lidocaine 4% Topical Anesthetic Cream,Personal care & medicine,chemical,4,ACT SOON
22-172,2022-06-23,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-170,2022-06-23,Baby Boy Dino Rompers and Baby Boy Camo Rompers Two Pack,Sleepwear & apparel,choking,3,ACT NOW
22-161,2022-06-16,"Walgreens Pain Reliever Acetaminophen, 150 count bottles",Feeding & high chairs,chemical,4,ACT SOON
22-160,2022-06-16,"Kroger Aspirin, 300 count bottles and Ibuprofen, 160 count bottles",Feeding & high chairs,chemical,4,ACT SOON
22-164,2022-06-16,"Kroger Arthritis Pain Acetaminophen, 225 count bottles",Feeding & high chairs,chemical,4,ACT SOON
22-165,2022-06-16,Children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-166,2022-06-16,Children's Desks and Chairs,Outdoor & play equipment,chemical|lead,4,ACT SOON
22-167,2022-06-16,Wooden xylophone Toys,Toys,choking|fall,3,ACT NOW
22-162,2022-06-16,"Kroger Acetaminophen, 100 count bottles",Feeding & high chairs,chemical,4,ACT SOON
22-750,2022-06-09,Jungle Jumparoo Children's Toys,Outdoor & play equipment,chemical|lead,4,ACT SOON
22-156,2022-06-09,Activity Loops,Toys,choking,3,ACT NOW
22-146,2022-06-02,Wonder & Wise Baby Activity Walkers,"Walkers, swings & bouncers",strangulation,1,ACT NOW
22-145,2022-06-02,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-142,2022-06-02,Children's pajama sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-141,2022-06-02,"6"" Aflac Plush Promotional Ducks",Outdoor & play equipment,chemical|lead,4,ACT SOON
22-139,2022-05-26,Children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-138,2022-05-26,Wonder & Wise Activity Tables,Toys,choking,3,ACT NOW
22-749,2022-05-26,Children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-133,2022-05-05,BIBS Baby Bottles,Feeding & high chairs,burn,3,ACT NOW
22-130,2022-05-05,"Infant French terry jumpsuits, rompers, snap suits, baby dresses and bibs",Feeding & high chairs,choking|laceration,3,ACT NOW
22-129,2022-05-05,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-128,2022-05-05,Children's Robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-745,2022-04-28,Best Naturals Organic Wintergreen Essential Oil,Personal care & medicine,chemical,4,ACT SOON
22-126,2022-04-28,H for HappyTM Woven Bunny Baskets,Toys,choking,3,ACT NOW
22-741,2022-04-21,Monti Kids Wooden Push Toys,Toys,choking,3,ACT NOW
22-124,2022-04-21,Children's pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-114,2022-04-14,Rae Prenatal Capsules and Rae Immunity Capsules,Personal care & medicine,chemical,4,ACT SOON
22-118,2022-04-14,"Hempväna Ultra Strength Pain Relief Cream with Lidocaine, Hempväna Ultra Strength Pain Relief Cream Night with Lidocaine, Hempväna Ultra Strength Pain Relief Cream Turmeric with Lidocaine, Hempväna Pain Relieving Hand & Body Lotion with Lidocaine",Personal care & medicine,chemical,4,ACT SOON
22-116,2022-04-14,FAO Schwarz Toy Wood Play Smart Robot Buddy(s) and FAO Schwarz Toy Wood Sensory Boards,Toys,choking,3,ACT NOW
22-738,2022-04-07,biOrigins Sodium Hydroxide Products,Household chemicals,burn|chemical,3,ACT NOW
22-113,2022-04-07,Clikk high chairs,Feeding & high chairs,fall,3,ACT NOW
22-110,2022-03-31,Kid O Hudson® Glow Rattles,Toys,choking,3,ACT NOW
22-736,2022-03-24,tonies® Blocks,Toys,chemical|magnet,2,ACT NOW
22-735,2022-03-24,Commencal Ramones 14-Inch Bicycles,Helmets & wheeled toys,crash,3,ACT NOW
22-107,2022-03-24,Ninebot Children's Bicycle Helmets,Helmets & wheeled toys,crash,3,ACT NOW
22-101,2022-03-17,DigitDots 3mm and 5mm Magnetic Balls,Toys,chemical|magnet,2,ACT NOW
22-733,2022-03-17,"PhysiciansCare brand Aspirin, Extra Strength Non Aspirin, Extra Strength Pain Reliever, Ibuprofen, Medication Station, and Multi-Pack",Personal care & medicine,chemical,4,ACT SOON
22-103,2022-03-16,B. toys Wooden Activity Walker - Walk 'n' Learn,"Walkers, swings & bouncers",choking,3,ACT NOW
22-099,2022-03-16,Airborne Gummies (63 and 75 count bottles),Feeding & high chairs,,4,ACT SOON
22-095,2022-03-09,Be the Band Music Sets,Toys,choking|suffocation,1,ACT NOW
22-090,2022-03-02,Bee Happy 12 Days of Craft Advent Calendars,Toys,chemical|lead,3,ACT NOW
22-731,2022-02-24,Mama & Me MINI Children's Handbags,Outdoor & play equipment,chemical|lead,4,ACT SOON
22-087,2022-02-23,Wooden Teethers,Feeding & high chairs,choking,3,ACT NOW
22-730,2022-02-17,Steel drinking cups with handle,Feeding & high chairs,choking,3,ACT NOW
22-724,2022-02-17,Infant Walkers,"Walkers, swings & bouncers",entrapment,1,ACT NOW
22-728,2022-02-17,Children's Sleepwear Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-083,2022-02-16,Valco Baby Snap Duo Trend Strollers,Strollers & carriers,fall,3,ACT NOW
22-080,2022-02-16,Children's Sleepwear Garments,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-722,2022-02-10,Serta® Perfect Sleeper® Mattresses,"Sleep — cribs, bassinets, loungers",fire|flammable,3,ACT NOW
22-073,2022-02-09,Adam the AppleTM Children's Stackable Toys,Toys,chemical|lead,3,ACT NOW
22-074,2022-02-09,Kids Reiny Szn Mid-Cushion Crew Socks,Sleepwear & apparel,choking,3,ACT NOW
22-071,2022-02-09,Children's Nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-719,2022-02-03,River Street Five-Drawer Chests,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
22-069,2022-02-02,SureClose® READYFIT 180° Hinge-Closer Sets,"Gates, rails & childproofing",drowning,1,ACT NOW
22-067,2022-02-02,KOYO Bounca The Squig Limited Edition Plush toys,Toys,choking,3,ACT NOW
22-066,2022-02-02,Children's Robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-060,2022-01-26,Over-the-counter drugs,Feeding & high chairs,chemical,4,ACT SOON
22-057,2022-01-26,Children's Nightgowns,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-055,2022-01-19,Children's Sleepwear Garments,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-054,2022-01-19,FRIGG Silicone Pacifiers,Feeding & high chairs,choking,3,ACT NOW
22-053,2022-01-12,Children's Robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-715,2022-01-06,Covered Wood Wagons,Helmets & wheeled toys,chemical|lead,4,ACT SOON
22-044,2022-01-05,Native Creation Small Wool Sweaters,Sleepwear & apparel,chemical|lead,4,ACT SOON
22-040,2021-12-22,Carex Brand Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
22-036,2021-12-22,Angel Line Bunk Beds with angled ladders,Nursery furniture & tip-over,entrapment|strangulation,1,ACT NOW
22-039,2021-12-22,Endurance® Hand Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
22-713,2021-12-16,Infant Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
22-027,2021-12-08,Children's robes,Sleepwear & apparel,burn|flammable,3,ACT NOW
22-025,2021-12-06,Bed Assist Handles and Bed Assist Rail,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
22-024,2021-12-01,Projector Flashlights (included as part of a care package),Nursery electricals & monitors,battery|choking,2,ACT NOW
22-710,2021-11-12,Baby Ruffle Rompers,Sleepwear & apparel,choking,3,ACT NOW
22-709,2021-11-12,Baby Long Sleeve Wiggle Sets,Sleepwear & apparel,choking,3,ACT NOW
22-013,2021-11-10,ABUS MountZ Youth Helmets,Helmets & wheeled toys,,4,ACT SOON
22-706,2021-11-04,"Turbo Racer, Cloud Racer, Captain's Fort and Fort Highlander Outdoor Playsets",Outdoor & play equipment,entrapment,1,ACT NOW
22-007,2021-11-02,Better Homes and Gardens Essential Oil Infused Aromatherapy Room Spray with Gemstones,Personal care & medicine,,4,ACT SOON
22-704,2021-10-28,Arc Collection Furniture,Nursery furniture & tip-over,chemical|lead,4,ACT SOON
22-011,2021-10-27,Nova Series 5-Drawer Chests,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
22-701,2021-10-07,Zoom 360 Ultralight jogging strollers,Strollers & carriers,fall,3,ACT NOW
21-198,2021-09-23,"Boppy Original Newborn Loungers, Boppy Preferred Newborn Loungers and Pottery Barn Kids Boppy Newborn Loungers","Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
21-781,2021-09-09,VITUS 14 and VITUS 16 Kids Bikes,Helmets & wheeled toys,,4,ACT SOON
21-194,2021-09-09,Janod Children's Shaving Kits,Toys,chemical,4,ACT SOON
21-778,2021-09-02,StepUp Sidekick Learning Towers,Nursery furniture & tip-over,fall,3,ACT NOW
21-193,2021-09-01,TurboSke Kids Toddler Bike Helmets,Helmets & wheeled toys,,4,ACT SOON
21-777,2021-08-26,"""Cutie Spoovel"" children's eating utensils",Feeding & high chairs,choking,3,ACT NOW
21-188,2021-08-25,Ocean and Safari animal wooden tray puzzles,Toys,choking,3,ACT NOW
21-775,2021-08-19,Infant Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
21-187,2021-08-18,Tucker & Tate children's socks,Sleepwear & apparel,choking,3,ACT NOW
21-181,2021-08-18,Teether Rings with Decorative Fabric and Plush Attachments,Feeding & high chairs,choking,3,ACT NOW
